DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WAP,hasGaps,Count
7/23/2018 9:15,9430.8,9430.6,9399.9,9423.3,467,9409.015,0,56
7/23/2018 9:16,9420.6,9424.05,9402.45,9424,512,9418.435,0,54
7/23/2018 9:17,9424.25,9429,9416.55,9418,412,9422.67,0,47
7/23/2018 9:18,9418.2,9429,9417.85,9428,204,9423.305,0,40
7/23/2018 9:20,9416.25,9425,9414.05,9414.2,125,9417.745,0,32
7/23/2018 9:21,9411.8,9413.1,9407.7,9413.05,209,9411.05,0,32
7/23/2018 9:23,9422.3,9427.35,9421.85,9423.95,95,9424.06,0,22
7/23/2018 9:24,9420.95,9428,9420.6,9427.95,112,9427.045,0,23
7/23/2018 9:25,9428.15,9428.05,9415.05,9422.75,166,9419.755,0,32
